"FORNECEDOR";"Valor";"C CUSTO";"Tipo de Despesa";"Gerente Responsavel"
"PORTO SEGURO CIA DE SEGUROS GERAIS";4000,00;"120070";"SEGURO PREDIAL";"Priscila"
"ROCAVAL SERVICOS LTDA ME";4430,00;"120070";"MANUTENÇÃO GERAL";"Priscila"
"BRASOFTWARE INFORMATICA LTDA";749120,00;"120010";"PRODUTOS/SERVIÇOS TECNOLOGIA";"Priscila"
"REIS OFFICE PRODUCTS SERVICOS LTDA";1070,00;"120070";"outsourcing de impressão";"Priscila"
"FF DE ALMEIDA DECORACAO DE INTERIORES -";36984,50;"120070";"REFORMAS GERAIS";"Priscila"
"WHIRLPOOL S.A";100782,14;"120070";"MANUTENÇÃO BEBEDOUROS";"Priscila"
"ASSEIO SANEAMENTO AMBIENTAL LTDA";478472,09;"120070";"CONTROLE DE PRAGAS";"Priscila"
"OSAA DESENTUPIDORA E DEDETIZADORA LTDA";219121,47;"120070";"MANUTENÇÃO CAIXAS DE GORDURA";"Priscila"
"SUPRICORP SUPRIMENTOS LTDA";930889,80;"120010";"MATERIAL ESCRITÓRIO";"Priscila"
"DISBRA DIESEL COM DE DERIVADOS DE PETROL";7391,47;"120070";"ABASTECIMENTO DIESEL";"Priscila"
"CASTRO NAVES DISTRIBUIDORA LTDA";1174,50;"120010";"MATERIAL DESCARTÁVEL";"Priscila"
"ARTE E OFICIO COMERCIO DE VIDROS LTDA -";7873,62;"120010";"MOLDURAS";"Priscila"
"DELTA EQUIPAMENTOS CONTRA INCENDIO LTDA";39225,00;"120070";"EXTINTORES E HIDRANTES";"Priscila"
"DISPARCON DIST. DE PECAS P AR COND LTDA";200610,70;"120010";"PEÇAS AR CONDICIONADO";"Priscila"
"PLACE CARTUCHOS E TONNERS LTDA ME";58740,51;"120010";;"Priscila"
"VIA VAREJO S/A";258188,22;"120010";;"Priscila"
"VEC VAREJO ESPECIALIZADO EM CONSTRUTORA";2425,79;"120070";"MATERIAL MANUTENÇÃO";"Priscila"
"MPS MANUTENCAO DE SERVICOS LTDA";436726,15;"120070";"MANUTENÇÃO AR CONDICIONADO";"Priscila"
"SSD MOLDURAS LTDA - EPP";4796,95;"120010";"MATERIAIS DIVERSOS - MOLDURAS";"Priscila"
"P4 PRADO COMERCIO DE VIDROS DECORATIVOS";29898,22;"120070";"MANUTENÇÃO DE VIDROS";"Priscila"
"CELSO YUJI YOSHIMOTO 25178971825";199834,76;"120010";"MATERIAL IMPRESSO ";"Priscila"
"TEC LIMP COMERCIAL LTDA - EPP";88033,03;"120070";"MATERIAL DESCARTÁVEL";"Priscila"
"MAXLIMP COIFAS LTDA-ME";343538,06;"120070";"MANUTENÇÃO COIFA";"Priscila"
"ELETRICA NEBLINA LTDA";2422,78;"120070";"MATERIAL MANUTENÇÃO";"Priscila"
"ESTILO PAISAGISMO E JARDINAGEM LTDA EPP";420379,61;"120070";"MANUTENÇÃO JARDIM";"Priscila"
"BARUAGUA COMERCIO DE AGUA MINERAL LTDA -";3718,41;"120070";"ABASTECIMENTO RESERVATÓRIOS";"Priscila"
"MD CARIMBOS COM E PREST SERV LTDA";360,00;"120010";"CARIMBOS";"Priscila"
"IRMAOS EHDI COMERCIO IMPORTACAO LTDA";5370,00;"120010";"MATERIAL DESCARTÁVEL";"Priscila"
"MULTI NOX EQUIPAMENTOS PARA RESTAURANTES";588970,00;"120010";"MATERIAIS DIVERSOS - UTENSÍLIOS ";"Priscila"
"PLATI COMERCIO DE PRODUTOS DE LIMPEZA LT";2000,00;"120010";"MATERIAL DESCARTÁVEL";"Priscila"
"VMTEC COMERCIO E REPRESENTACAO DE INF LT";4850,00;"120010";"PRODUTOS/SERVIÇOS TECNOLOGIA";"Priscila"
"SAINT GOBAIN DISTRIBUICAO BRASIL LTDA";392880,00;"120070";"MATERIAL MANUTENÇÃO";"Priscila"
"O UNIVERSO DAS AGUAS LTDA - ME";14274,00;"120070";"MANUTENÇÃO FILTRO";"Priscila"
"MASTERAP COMERCIO DE CAPACHOS EIRELI -";16,41;"120010";"MATERIAIS DIVERSOS - CAPACHO";"Priscila"
"FLEX FREDS SISTEMAS DE IDENTIFICACAO LTD";64,59;"120010";"FINANCIADORA DELL";"Priscila"
"PRO IN - SUPRIMENTOS E MAQUINAS DE IMPR";2353,93;"120010";"CARTUCHOS ";"Priscila"
"ELETROMAC LTDA";579,91;"120070";"MATERIAL MANUTENÇÃO";"Priscila"
"DINAMICA COMERCIO E LOCACAO DE APARELHOS";7,01;"120010";"MESAS DE JOGOS";"Priscila"
"ALPHA CLEANERS SERVICOS DE LAVANDERIA LT";572,90;"120010";"LAVANDEIRIA";"Priscila"
"CERTISIGN CERTIFICADORA DIGITAL S/A";121,97;"120030";"CERTIFICADO DIGITAL";"Fabiana"
" FRED PARTICIPACOES S.A.";1,46;"11111";"Compartilhamento de Despesas";"Osvaldo"
" CONSULTORIA - EIRELI - ME";120,51;"11111";;
"BHV SERVICOS E PARTICIPACOES LTDA.";110,82;"11111";"CONSELHEIRO";"Osvaldo"
"BANCO ITAUFRED S/A";1,33;"120010";"CARTÃO CORPORATIVO DE VIAGENS";"Osvaldo"
"99 TAXIS DESENVOLVIMENTO DE SOFTWARES LT";109,49;"140010";"TAXI / TRANSPORTES";"Osvaldo"
"VALENTI NETWOR COMPUTING EIRELI";174025,73;"150060";"RECURSOS TERCEIROS";
